Region	idx1	idx2	group
Brain-Left-FrontalLobe-LParsOper	50	50	14
Brain-Left-FrontalLobe-LParsTriang	52	52	14
Brain-Left-FrontalLobe-LRostMidFrontal	9	9	14
Brain-Left-FrontalLobe-LSupFrontal	10	10	14
Brain-Left-ParietalLobe-LSupramarg	15	15	14
Brain-Left-TemporalLobe-LInfTemporal	20	20	14
Brain-Left-TemporalLobe-LMidTemporal	22	22	14
Brain-Right-Cingulate-RPostCing	56	56	14
Brain-Right-FrontalLobe-RLatOrbFrontal	57	57	14
Brain-Right-FrontalLobe-RMedOrbFrontal	67	67	14
Brain-Right-FrontalLobe-RParsOrb	68	68	14
Brain-Right-FrontalLobe-RParsTriang	59	59	14
Brain-Right-FrontalLobe-RRostMidFrontal	26	26	14
Brain-Right-FrontalLobe-RSupFrontal	27	27	14
Brain-Left-FrontalLobe-LParsTriang	52	52	15
Brain-Left-Cingulate-LIsthmCing	7	7	15
Brain-Left-FrontalLobe-LCaudMidFrontal	8	8	15
Brain-Left-FrontalLobe-LLatOrbFrontal	49	49	15
Brain-Left-FrontalLobe-LParsOper	50	50	15
Brain-Left-FrontalLobe-LParsOrb	51	51	15
Brain-Left-FrontalLobe-LRostMidFrontal	9	9	15
Brain-Left-FrontalLobe-LSupFrontal	10	10	15
Brain-Left-ParietalLobe-LInfParietal	12	12	15
Brain-Left-ParietalLobe-LPrecuneus	13	13	15
Brain-Left-ParietalLobe-LSupramarg	15	15	15
Brain-Left-SensoryMotorCortex-LPostcentral	16	16	15
Brain-Left-SensoryMotorCortex-LPrecentral	54	54	15
Brain-Left-TemporalLobe-LBanksSTS	18	18	15
Brain-Left-TemporalLobe-LFusiform	19	19	15
Brain-Left-TemporalLobe-LInfTemporal	20	20	15
Brain-Left-TemporalLobe-LMidTemporal	22	22	15
Brain-Left-TemporalLobe-LSupTemporal	23	23	15
Brain-Right-FrontalLobe-RCaudMidFrontal	25	25	15
Brain-Right-FrontalLobe-RLatOrbFrontal	57	57	15
Brain-Right-FrontalLobe-RMedOrbFrontal	67	67	15
Brain-Right-FrontalLobe-RParsOper	58	58	15
Brain-Right-FrontalLobe-RParsTriang	59	59	15
Brain-Right-FrontalLobe-RRostMidFrontal	26	26	15
Brain-Right-FrontalLobe-RSupFrontal	27	27	15
Brain-Right-ParietalLobe-RInfParietal	29	29	15
Brain-Right-ParietalLobe-RPrecuneus	30	30	15
Brain-Right-ParietalLobe-RSupramarg	32	32	15
Brain-Right-SensoryMotorCortex-RPrecentral	60	60	15
Brain-Right-TemporalLobe-RMidTemporal	37	37	15
Brain-Right-TemporalLobe-RSupTemporal	38	38	15
Brain-Left-FrontalLobe-LRostMidFrontal	9	9	16
Brain-Left-CerebralCortex-LCerebCtx	6	6	16
Brain-Left-Cingulate-LIsthmCing	7	7	16
Brain-Left-FrontalLobe-LCaudMidFrontal	8	8	16
Brain-Left-FrontalLobe-LFrontalPole	65	65	16
Brain-Left-FrontalLobe-LLatOrbFrontal	49	49	16
Brain-Left-FrontalLobe-LMedOrbFrontal	61	61	16
Brain-Left-FrontalLobe-LParsOper	50	50	16
Brain-Left-FrontalLobe-LParsOrb	51	51	16
Brain-Left-FrontalLobe-LParsTriang	52	52	16
Brain-Left-FrontalLobe-LSupFrontal	10	10	16
Brain-Left-OccipitalLobe-LLatOccipital	11	11	16
Brain-Left-ParietalLobe-LInfParietal	12	12	16
Brain-Left-ParietalLobe-LPrecuneus	13	13	16
Brain-Left-ParietalLobe-LSupParietal	14	14	16
Brain-Left-ParietalLobe-LSupramarg	15	15	16
Brain-Left-SensoryMotorCortex-LParacentral	53	53	16
Brain-Left-SensoryMotorCortex-LPostcentral	16	16	16
Brain-Left-SensoryMotorCortex-LPrecentral	54	54	16
Brain-Left-TemporalLobe-LBanksSTS	18	18	16
Brain-Left-TemporalLobe-LFusiform	19	19	16
Brain-Left-TemporalLobe-LInfTemporal	20	20	16
Brain-Left-TemporalLobe-LMidTemporal	22	22	16
Brain-Left-TemporalLobe-LSupTemporal	23	23	16
Brain-Right-CerebralCortex-RCerebCtx	24	24	16
Brain-Right-Cingulate-RPostCing	56	56	16
Brain-Right-FrontalLobe-RCaudMidFrontal	25	25	16
Brain-Right-FrontalLobe-RFrontalPole	66	66	16
Brain-Right-FrontalLobe-RLatOrbFrontal	57	57	16
Brain-Right-FrontalLobe-RMedOrbFrontal	67	67	16
Brain-Right-FrontalLobe-RParsOper	58	58	16
Brain-Right-FrontalLobe-RParsOrb	68	68	16
Brain-Right-FrontalLobe-RParsTriang	59	59	16
Brain-Right-FrontalLobe-RRostMidFrontal	26	26	16
Brain-Right-FrontalLobe-RSupFrontal	27	27	16
Brain-Right-ParietalLobe-RInfParietal	29	29	16
Brain-Right-ParietalLobe-RPrecuneus	30	30	16
Brain-Right-ParietalLobe-RSupramarg	32	32	16
Brain-Right-SensoryMotorCortex-RParacentral	63	63	16
Brain-Right-SensoryMotorCortex-RPostcentral	64	64	16
Brain-Right-SensoryMotorCortex-RPrecentral	60	60	16
Brain-Right-TemporalLobe-RBanksSTS	34	34	16
Brain-Right-TemporalLobe-RInfTemporal	36	36	16
Brain-Right-TemporalLobe-RMidTemporal	37	37	16
Brain-Right-TemporalLobe-RSupTemporal	38	38	16
Brain-Left-FrontalLobe-LSupFrontal	10	10	17
Brain-Left-CerebralCortex-LCerebCtx	6	6	17
Brain-Left-Cingulate-LIsthmCing	7	7	17
Brain-Left-Cingulate-LPostCing	48	48	17
Brain-Left-FrontalLobe-LCaudMidFrontal	8	8	17
Brain-Left-FrontalLobe-LLatOrbFrontal	49	49	17
Brain-Left-FrontalLobe-LParsOper	50	50	17
Brain-Left-FrontalLobe-LParsOrb	51	51	17
Brain-Left-FrontalLobe-LParsTriang	52	52	17
Brain-Left-FrontalLobe-LRostMidFrontal	9	9	17
Brain-Left-OccipitalLobe-LLatOccipital	11	11	17
Brain-Left-ParietalLobe-LInfParietal	12	12	17
Brain-Left-ParietalLobe-LPrecuneus	13	13	17
Brain-Left-ParietalLobe-LSupParietal	14	14	17
Brain-Left-ParietalLobe-LSupramarg	15	15	17
Brain-Left-SensoryMotorCortex-LParacentral	53	53	17
Brain-Left-SensoryMotorCortex-LPostcentral	16	16	17
Brain-Left-SensoryMotorCortex-LPrecentral	54	54	17
Brain-Left-TemporalLobe-LBanksSTS	18	18	17
Brain-Left-TemporalLobe-LFusiform	19	19	17
Brain-Left-TemporalLobe-LInfTemporal	20	20	17
Brain-Left-TemporalLobe-LLingual	21	21	17
Brain-Left-TemporalLobe-LMidTemporal	22	22	17
Brain-Left-TemporalLobe-LSupTemporal	23	23	17
Brain-Left-TemporalLobe-LTransvTemporal	62	62	17
Brain-Right-CerebralCortex-RCerebCtx	24	24	17
Brain-Right-Cingulate-RIsthmCing	55	55	17
Brain-Right-Cingulate-RPostCing	56	56	17
Brain-Right-FrontalLobe-RCaudMidFrontal	25	25	17
Brain-Right-FrontalLobe-RFrontalPole	66	66	17
Brain-Right-FrontalLobe-RLatOrbFrontal	57	57	17
Brain-Right-FrontalLobe-RMedOrbFrontal	67	67	17
Brain-Right-FrontalLobe-RParsOper	58	58	17
Brain-Right-FrontalLobe-RParsOrb	68	68	17
Brain-Right-FrontalLobe-RParsTriang	59	59	17
Brain-Right-FrontalLobe-RRostMidFrontal	26	26	17
Brain-Right-FrontalLobe-RSupFrontal	27	27	17
Brain-Right-OccipitalLobe-RLatOccipital	28	28	17
Brain-Right-ParietalLobe-RInfParietal	29	29	17
Brain-Right-ParietalLobe-RPrecuneus	30	30	17
Brain-Right-ParietalLobe-RSupParietal	31	31	17
Brain-Right-ParietalLobe-RSupramarg	32	32	17
Brain-Right-SensoryMotorCortex-RParacentral	63	63	17
Brain-Right-SensoryMotorCortex-RPostcentral	64	64	17
Brain-Right-SensoryMotorCortex-RPrecentral	60	60	17
Brain-Right-TemporalLobe-RBanksSTS	34	34	17
Brain-Right-TemporalLobe-RFusiform	35	35	17
Brain-Right-TemporalLobe-RInfTemporal	36	36	17
Brain-Right-TemporalLobe-RMidTemporal	37	37	17
Brain-Right-TemporalLobe-RSupTemporal	38	38	17
Brain-Left-OccipitalLobe-LCuneus	69	69	18
Brain-Left-OccipitalLobe-LLatOccipital	11	11	18
Brain-Left-OccipitalLobe-LPericalc	70	70	18
Brain-Left-ParietalLobe-LPrecuneus	13	13	18
Brain-Left-ParietalLobe-LSupParietal	14	14	18
Brain-Left-TemporalLobe-LLingual	21	21	18
Brain-Right-OccipitalLobe-RCuneus	71	71	18
Brain-Right-OccipitalLobe-RLatOccipital	28	28	18
Brain-Right-ParietalLobe-RSupParietal	31	31	18
Brain-Left-OccipitalLobe-LLatOccipital	11	11	19
Brain-Left-CerebralCortex-LCerebCtx	6	6	19
Brain-Left-Cingulate-LIsthmCing	7	7	19
Brain-Left-FrontalLobe-LCaudMidFrontal	8	8	19
Brain-Left-FrontalLobe-LRostMidFrontal	9	9	19
Brain-Left-FrontalLobe-LSupFrontal	10	10	19
Brain-Left-OccipitalLobe-LCuneus	69	69	19
Brain-Left-ParietalLobe-LInfParietal	12	12	19
Brain-Left-ParietalLobe-LPrecuneus	13	13	19
Brain-Left-ParietalLobe-LSupParietal	14	14	19
Brain-Left-ParietalLobe-LSupramarg	15	15	19
Brain-Left-SensoryMotorCortex-LParacentral	53	53	19
Brain-Left-SensoryMotorCortex-LPostcentral	16	16	19
Brain-Left-SensoryMotorCortex-LPrecentral	54	54	19
Brain-Left-TemporalLobe-LBanksSTS	18	18	19
Brain-Left-TemporalLobe-LFusiform	19	19	19
Brain-Left-TemporalLobe-LInfTemporal	20	20	19
Brain-Left-TemporalLobe-LLingual	21	21	19
Brain-Left-TemporalLobe-LMidTemporal	22	22	19
Brain-Left-TemporalLobe-LSupTemporal	23	23	19
Brain-Right-CerebralCortex-RCerebCtx	24	24	19
Brain-Right-FrontalLobe-RCaudMidFrontal	25	25	19
Brain-Right-FrontalLobe-RRostMidFrontal	26	26	19
Brain-Right-FrontalLobe-RSupFrontal	27	27	19
Brain-Right-OccipitalLobe-RCuneus	71	71	19
Brain-Right-OccipitalLobe-RLatOccipital	28	28	19
Brain-Right-ParietalLobe-RInfParietal	29	29	19
Brain-Right-ParietalLobe-RPrecuneus	30	30	19
Brain-Right-ParietalLobe-RSupParietal	31	31	19
Brain-Right-ParietalLobe-RSupramarg	32	32	19
Brain-Right-SensoryMotorCortex-RParacentral	63	63	19
Brain-Right-SensoryMotorCortex-RPostcentral	64	64	19
Brain-Right-SensoryMotorCortex-RPrecentral	60	60	19
Brain-Right-TemporalLobe-RBanksSTS	34	34	19
Brain-Right-TemporalLobe-RFusiform	35	35	19
Brain-Right-TemporalLobe-RLingual	72	72	19
Brain-Right-TemporalLobe-RSupTemporal	38	38	19
Brain-Left-OccipitalLobe-LPericalc	70	70	20
Brain-Left-OccipitalLobe-LCuneus	69	69	20
Brain-Left-ParietalLobe-LSupParietal	14	14	20
Brain-Right-OccipitalLobe-RPericalc	73	73	20
Brain-Left-ParietalLobe-LInfParietal	12	12	21
Brain-Left-CerebralCortex-LCerebCtx	6	6	21
Brain-Left-Cingulate-LIsthmCing	7	7	21
Brain-Left-FrontalLobe-LCaudMidFrontal	8	8	21
Brain-Left-FrontalLobe-LParsOper	50	50	21
Brain-Left-FrontalLobe-LParsTriang	52	52	21
Brain-Left-FrontalLobe-LRostMidFrontal	9	9	21
Brain-Left-FrontalLobe-LSupFrontal	10	10	21
Brain-Left-OccipitalLobe-LLatOccipital	11	11	21
Brain-Left-ParietalLobe-LPrecuneus	13	13	21
Brain-Left-ParietalLobe-LSupParietal	14	14	21
Brain-Left-ParietalLobe-LSupramarg	15	15	21
Brain-Left-SensoryMotorCortex-LParacentral	53	53	21
Brain-Left-SensoryMotorCortex-LPostcentral	16	16	21
Brain-Left-SensoryMotorCortex-LPrecentral	54	54	21
Brain-Left-TemporalLobe-LBanksSTS	18	18	21
Brain-Left-TemporalLobe-LFusiform	19	19	21
Brain-Left-TemporalLobe-LInfTemporal	20	20	21
Brain-Left-TemporalLobe-LLingual	21	21	21
Brain-Left-TemporalLobe-LMidTemporal	22	22	21
Brain-Left-TemporalLobe-LSupTemporal	23	23	21
Brain-Right-CerebralCortex-RCerebCtx	24	24	21
Brain-Right-Cingulate-RIsthmCing	55	55	21
Brain-Right-FrontalLobe-RCaudMidFrontal	25	25	21
Brain-Right-FrontalLobe-RParsOper	58	58	21
Brain-Right-FrontalLobe-RParsTriang	59	59	21
Brain-Right-FrontalLobe-RRostMidFrontal	26	26	21
Brain-Right-FrontalLobe-RSupFrontal	27	27	21
